grid_id,existing_lx,recommended_lx,delta_percent,keep_hours,reason_1,reason_2,reason_3,reasons
23,25.0,24.599,-1.605,3,night_traffic|야간교통량|UP,residential_density|주택밀집도|UP,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
24,25.0,24.604,-1.584,3,night_traffic|야간교통량|UP,residential_density|주택밀집도|UP,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
25,25.0,24.604,-1.584,3,night_traffic|야간교통량|UP,residential_density|주택밀집도|UP,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
26,25.0,24.604,-1.584,3,night_traffic|야간교통량|UP,residential_density|주택밀집도|UP,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
27,25.0,24.604,-1.584,3,night_traffic|야간교통량|UP,residential_density|주택밀집도|UP,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
28,25.0,24.599,-1.605,3,night_traffic|야간교통량|UP,residential_density|주택밀집도|UP,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
29,25.0,24.45,-2.2,3,park_within|격자 내 공원|DOWN,night_traffic|야간교통량|UP,residential_density|주택밀집도|UP,"[{""key"": ""park_within"", ""label"": ""격자 내 공원"", ""direction"": ""DOWN""}, {""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}]"
30,25.0,24.926,-0.297,3,commercial_density|상권밀집도|UP,night_traffic|야간교통량|UP,residential_density|주택밀집도|DOWN,"[{""key"": ""commercial_density"", ""label"": ""상권밀집도"", ""direction"": ""UP""}, {""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""DOWN""}]"
31,25.0,24.603,-1.589,3,commercial_density|상권밀집도|UP,residential_density|주택밀집도|DOWN,night_traffic|야간교통량|UP,"[{""key"": ""commercial_density"", ""label"": ""상권밀집도"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""DOWN""}, {""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}]"
32,25.0,24.604,-1.584,3,night_traffic|야간교통량|UP,residential_density|주택밀집도|UP,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
